ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
IT_20230630_070654;2023-06-30T07:06:54;-52.1236;-27.2447;388756.988552;6985959.09628;-0.5;80.6926;I
IT_20230623_033615;2023-06-23T03:36:15;-52.0635;-27.3083;394770.756154;6978969.3649;-0.5;82.288;I
IT_20230622_193901;2023-06-22T19:39:01;-52.2639;-27.2941;374921.37989;6980353.36775;-0.6;69.5138;I
IT_20230622_190347;2023-06-22T19:03:47;-52.4587;-27.6399;356096.246968;6941839.45362;0.9;34691.7;Q
IT_20230621_045910;2023-06-21T04:59:10;-52.3299;-27.3139;368411.994301;6978098.93716;-0.7;33.2441;I
IT_20230619_163424;2023-06-19T16:34:24;-53.0940;-28.4311;294913.30248;6853250.67814;1.3;262839;Q
gfz2023lsea;2023-06-16T11:22:00;-47.4000;-24.5000;256798.835522;7288301.58028;5.2;4.34826e+12;E
IT_20230613_091716;2023-06-13T09:17:16;-52.3448;-27.3051;366930.35724;6979050.01441;0.3;2568.54;I
IT_20230611_190546;2023-06-11T19:05:46;-52.1223;-27.2430;388886.780741;6986149.93384;-0.1;625.703;I
IT_20230608_063905;2023-06-08T06:39:05;-52.1233;-27.2441;388790.084401;6986031.58718;-0.6;48.8092;I
IT_20230606_173127;2023-06-06T17:31:27;-52.5289;-27.4790;348949.863465;6959577.526;1.2;125331;Q
IT_20230606_003357;2023-06-06T00:33:57;-52.1642;-27.2142;384706.708849;6989301.05229;-0.9;17.2632;I
IT_20230605_203509;2023-06-05T20:35:09;-51.7175;-27.3387;429030.705976;6975842.09138;0.8;29450.1;Q
IT_20230601_195756;2023-06-01T19:57:56;-52.0606;-27.2107;394964.104493;6989781.28113;0.9;38000.7;Q
IT_20230601_055456;2023-06-01T05:54:56;-52.1247;-27.2432;388648.369165;6986122.47372;-0.9;18.0537;I
IT_20230630_070654;2023-06-30T07:06:54;-52.1236;-27.2447;388756.988552;6985959.09628;-0.5;80.6926;I
IT_20230623_033615;2023-06-23T03:36:15;-52.0635;-27.3083;394770.756154;6978969.3649;-0.5;82.288;I
IT_20230622_193901;2023-06-22T19:39:01;-52.2639;-27.2941;374921.37989;6980353.36775;-0.6;69.5138;I
IT_20230622_190347;2023-06-22T19:03:47;-52.4587;-27.6399;356096.246968;6941839.45362;0.9;34691.7;Q
IT_20230621_045910;2023-06-21T04:59:10;-52.3299;-27.3139;368411.994301;6978098.93716;-0.7;33.2441;I
IT_20230619_163424;2023-06-19T16:34:24;-53.0940;-28.4311;294913.30248;6853250.67814;1.3;262839;Q
gfz2023lsea;2023-06-16T11:22:00;-47.4000;-24.5000;256798.835522;7288301.58028;5.2;4.34826e+12;E
IT_20230613_091716;2023-06-13T09:17:16;-52.3448;-27.3051;366930.35724;6979050.01441;0.3;2568.54;I
IT_20230611_190546;2023-06-11T19:05:46;-52.1223;-27.2430;388886.780741;6986149.93384;-0.1;625.703;I
IT_20230608_063905;2023-06-08T06:39:05;-52.1233;-27.2441;388790.084401;6986031.58718;-0.6;48.8092;I
IT_20230606_173127;2023-06-06T17:31:27;-52.5289;-27.4790;348949.863465;6959577.526;1.2;125331;Q
IT_20230606_003357;2023-06-06T00:33:57;-52.1642;-27.2142;384706.708849;6989301.05229;-0.9;17.2632;I
IT_20230605_203509;2023-06-05T20:35:09;-51.7175;-27.3387;429030.705976;6975842.09138;0.8;29450.1;Q
IT_20230601_195756;2023-06-01T19:57:56;-52.0606;-27.2107;394964.104493;6989781.28113;0.9;38000.7;Q
IT_20230601_055456;2023-06-01T05:54:56;-52.1247;-27.2432;388648.369165;6986122.47372;-0.9;18.0537;I
IT_20230630_070654;2023-06-30T07:06:54;-52.1236;-27.2447;388756.988552;6985959.09628;-0.5;80.6926;I
IT_20230623_033615;2023-06-23T03:36:15;-52.0635;-27.3083;394770.756154;6978969.3649;-0.5;82.288;I
IT_20230622_193901;2023-06-22T19:39:01;-52.2639;-27.2941;374921.37989;6980353.36775;-0.6;69.5138;I
IT_20230622_190347;2023-06-22T19:03:47;-52.4587;-27.6399;356096.246968;6941839.45362;0.9;34691.7;Q
IT_20230621_045910;2023-06-21T04:59:10;-52.3299;-27.3139;368411.994301;6978098.93716;-0.7;33.2441;I
IT_20230619_163424;2023-06-19T16:34:24;-53.0940;-28.4311;294913.30248;6853250.67814;1.3;262839;Q
gfz2023lsea;2023-06-16T11:22:00;-47.4000;-24.5000;256798.835522;7288301.58028;5.2;4.34826e+12;E
IT_20230613_091716;2023-06-13T09:17:16;-52.3448;-27.3051;366930.35724;6979050.01441;0.3;2568.54;I
IT_20230611_190546;2023-06-11T19:05:46;-52.1223;-27.2430;388886.780741;6986149.93384;-0.1;625.703;I
IT_20230608_063905;2023-06-08T06:39:05;-52.1233;-27.2441;388790.084401;6986031.58718;-0.6;48.8092;I
IT_20230606_173127;2023-06-06T17:31:27;-52.5289;-27.4790;348949.863465;6959577.526;1.2;125331;Q
IT_20230606_003357;2023-06-06T00:33:57;-52.1642;-27.2142;384706.708849;6989301.05229;-0.9;17.2632;I
IT_20230605_203509;2023-06-05T20:35:09;-51.7175;-27.3387;429030.705976;6975842.09138;0.8;29450.1;Q
IT_20230601_195756;2023-06-01T19:57:56;-52.0606;-27.2107;394964.104493;6989781.28113;0.9;38000.7;Q
IT_20230601_055456;2023-06-01T05:54:56;-52.1247;-27.2432;388648.369165;6986122.47372;-0.9;18.0537;I
IT_20230630_070654;2023-06-30T07:06:54;-52.1236;-27.2447;388756.988552;6985959.09628;-0.5;80.6926;I
IT_20230623_033615;2023-06-23T03:36:15;-52.0635;-27.3083;394770.756154;6978969.3649;-0.5;82.288;I
