ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
MC_20230929_145625;2023-09-29T14:56:25;-51.4254;-27.5585;458002.586657;6951629.31808;-0.4;138.954;I
MC_20230929_111457;2023-09-29T11:14:57;-51.4355;-27.5698;457015.715577;6950377.38981;-0.1;563.721;I
MC_20230929_103129;2023-09-29T10:31:29;-51.4330;-27.5814;457259.266796;6949094.96634;-0.1;432.42;I
MC_20230929_100122;2023-09-29T10:01:22;-51.4258;-27.5814;457970.471777;6949092.93269;-0.0;690.793;I
MC_20230927_124624;2023-09-27T12:46:24;-51.3295;-27.6895;467507.071493;6937149.30806;-0.4;127.28;I
MC_20230919_025258;2023-09-19T02:52:58;-51.3256;-27.7085;467895.521061;6935043.56131;-1.0;8.46601;I
MC_20230916_152149;2023-09-16T15:21:49;-50.5896;-27.9284;540376.20257;6910658.35322;1.1;82262.6;Q
MC_20230906_151824;2023-09-06T15:18:24;-51.8444;-28.0489;417013.500535;6897088.71996;1.7;1.17607e+06;Q
MC_20230906_121305;2023-09-06T12:13:05;-51.3376;-27.7136;466720.206205;6934480.48038;-0.6;60.8546;I
MC_20230904_002008;2023-09-04T00:20:08;-51.3298;-27.7133;467484.274011;6934510.79471;-0.8;23.2406;I
MC_20230902_081604;2023-09-02T08:16:04;-51.3007;-27.7044;470355.120176;6935509.25793;-0.7;30.4004;I
