ID;Hora de Origem (UTC);Longitude;Latitude;UTM X;UTM Y;MLv;Energia;Cat
;;(°);(°);(m);(m);;(J);
SP_20230830_204938;2023-08-30T20:49:38;-49.1929;-27.2837;678857.468197;6980853.51684;1.7;1.25027e+06;Q
SP_20230824_152929;2023-08-24T15:29:29;-49.3706;-27.3787;661127.420414;6970564.08612;1.6;965367;Q
SP_20230824_144552;2023-08-24T14:45:52;-49.5194;-27.0966;646786.379762;7002001.60039;1.4;306963;Q
SP_20230821_203238;2023-08-21T20:32:38;-49.5775;-27.3768;640663.994295;6971026.20664;1.8;2.2464e+06;Q
SP_20230818_154946;2023-08-18T15:49:46;-49.3619;-27.3734;661995.102441;6971146.15018;1.1;82923.6;Q
SP_20230818_154759;2023-08-18T15:47:59;-49.3671;-27.3769;661476.843815;6970762.17016;1.7;1.24523e+06;Q
SP_20230818_152819;2023-08-18T15:28:21;-49.4774;-26.8329;651297.845112;7031160.14762;1.5;464046;Q
SP_20230818_152821;2023-08-18T15:28:21;-49.4774;-26.8329;651297.845112;7031160.14762;1.5;464022;Q
SP_20230816_200712;2023-08-16T20:07:12;-49.1595;-27.2413;682234.751267;6985502.44232;1.1;85169.1;Q
SP_20230816_184633;2023-08-16T18:46:33;-49.5424;-27.0343;644578.406437;7008934.85419;1.3;208955;Q
SP_20230815_152857;2023-08-15T15:28:57;-49.3792;-27.3807;660279.421361;6970351.81629;1.6;1.03504e+06;Q
SP_20230809_173435;2023-08-09T17:34:35;-48.9411;-26.9649;704364.70293;7015787.64587;1.7;1.11257e+06;Q
SP_20230808_153702;2023-08-08T15:37:02;-49.3712;-27.3758;661069.585459;6970883.7984;1.2;121291;Q
SP_20230803_175815;2023-08-03T17:58:15;-49.5190;-27.0966;646823.126642;7002004.70325;1.5;555230;Q
SP_20230801_181710;2023-08-01T18:17:10;-49.3781;-27.3687;660402.390706;6971680.54241;1.6;821247;Q
